試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数
1,,,1992.04.04,浦和国際親善サッカー,ポート・オーソリティ(タイ),浦和市駒場競技場,I,H,○ 3 - 0,3,0,"4,000人"
2,,,1992.07.11,東南アジア遠征,ポート・オーソリティ(タイ),バンコク,I,A,○ 3 - 2,3,2,"5,000人"
3,,,1992.07.14,東南アジア遠征,タイ・ユース代表,バンコク,I,A,○ 1 - 0,1,0,"6,000人"
4,,,1992.07.17,東南アジア遠征,KLポリス(マレーシア),クアラルンプール,I,A,○ 1 - 0,1,0,100人
5,,,1992.07.21,東南アジア遠征,KLアーミー(マレーシア),クアラルンプール,I,A,○ 3 - 0,3,0,500人
6,,,1992.08.02,Jリーグオープン戦,ジェフユナイテッド市原,山形県あかねヶ丘陸上競技場,P,A,△ 0 - 0,0,0,"10,000人"
7,,,1992.08.09,朝霞市制25周年記念試合 朝霞サッカーフェスティバル,横浜マリノス,朝霞中央公園陸上競技場,P,H,△ 2 - 2,2,2,"3,500人"
8,,,1992.08.19,スーパーロードカップ,ヴェルディ川崎,栃木市総合運動公園陸上競技場,P,A,△ 2 - 2,2,2,"7,000人"
9,,,1992.08.22,1992 ファームリーグ,ジェフユナイテッド市原,江戸川区陸上競技場,S,H,● 0 - 1,0,1,301人
10,,,1992.08.30,1992 ファームリーグ,名古屋グランパスエイト,豊田市運動公園陸上競技場,S,A,○ 2 - 1,2,1,"2,071人"
11,1,,1992.09.05,1992Jリーグヤマザキナビスコカップ 予選リーグ 第1節,ジェフユナイテッド市原,埼玉県営大宮公園サッカー場,LC,H,● 2 - 3,2,3,"4,934人"
12,2,,1992.09.09,1992Jリーグヤマザキナビスコカップ 予選リーグ 第2節,サンフレッチェ広島,広島スタジアム,LC,A,○ 3 - 2,3,2,"3,128人"
13,3,,1992.09.12,1992Jリーグヤマザキナビスコカップ 予選リーグ 第3節,ヴェルディ川崎,等々力陸上競技場,LC,A,● 0 - 1,0,1,"9,022人"
14,,,1992.09.13,1992 ファームリーグ,読売ヴェルディ川崎,等々力陸上競技場,S,A,● 0 - 2,0,2,267人
15,4,,1992.09.19,1992Jリーグヤマザキナビスコカップ 予選リーグ 第4節,鹿島アントラーズ,埼玉県営大宮公園サッカー場,LC,H,○ 3 - 2,3,2,"8,948人"
16,5,,1992.09.22,1992Jリーグヤマザキナビスコカップ 予選リーグ 第5節,横浜フリューゲルス,平塚競技場,LC,A,○ 2 - 1,2,1,"5,684人"
17,6,,1992.09.27,1992Jリーグヤマザキナビスコカップ 予選リーグ 第6節,横浜マリノス,川越運動公園陸上競技場,LC,H,○ 2 - 1,2,1,"7,199人"
18,,,1992.09.30,1992 ファームリーグ,横浜フリューゲルス,江戸川区陸上競技場,S,H,● 3 - 4,3,4,281人
19,7,,1992.10.03,1992Jリーグヤマザキナビスコカップ 予選リーグ 第7節,清水エスパルス,日本平運動公園球技場,LC,A,● 1 - 4,1,4,"5,321人"
20,8,,1992.10.07,1992Jリーグヤマザキナビスコカップ 予選リーグ 第8節,名古屋グランパスエイト,埼玉県営大宮公園サッカー場,LC,H,● 0 - 1,0,1,"9,696人"
21,,,1992.10.10,1992 ファームリーグ,横浜マリノス,日立柏サッカー場,S,A,● 2 - 3,2,3,160人
22,9,,1992.10.11,1992Jリーグヤマザキナビスコカップ 予選リーグ 第9節,ガンバ大阪,神戸総合運動公園ユニバー記念競技場,LC,A,○ 2 - 1,2,1,"15,871人"
23,,,1992.10.24,プレシーズンマッチ,清水エスパルス,岡山県総合グラウンド陸上競技場,P,A,△ 2 - 2,2,2,"10,000人"
24,,,1992.10.25,1992 ファームリーグ,鹿島アントラーズ,江戸川区陸上競技場,S,H,○ 3 - 0,3,0,311人
25,,,1992.11.14,1992 ファームリーグ,清水エスパルス,日本平運動公園球技場,S,A,● 2 - 3,2,3,741人
26,,,1992.11.15,Jリーグプレシーズンマッチin下関,横浜フリューゲルス,下関市営下関陸上競技場,P,A,△ 1 - 1,1,1,"5,000人"
27,,,1992.11.21,1992 ファームリーグ,サンフレッチェ広島,江戸川区陸上競技場,S,H,● 0 - 1,0,1,317人
28,,,1992.11.29,1992 ファームリーグ,ガンバ大阪,神戸市立中央球技場,S,A,○ 2 - 1,2,1,602人
29,10,,1992.12.05,第72回天皇杯全日本サッカー選手権大会 1回戦,アンフィニ札幌,埼玉県営大宮公園サッカー場,E,N,○ 2 - 1,2,1,"5,000人"
30,11,,1992.12.06,第72回天皇杯全日本サッカー選手権大会 2回戦,富士通,埼玉県営大宮公園サッカー場,E,N,○ 3 - 0,3,0,"3,500人"
31,12,,1992.12.20,第72回天皇杯全日本サッカー選手権大会 準々決勝,鹿島アントラーズ,姫路市立陸上競技場,E,N,○ 2 - 1,2,1,"15,000人"
32,13,,1992.12.23,第72回天皇杯全日本サッカー選手権大会 準決勝,ヴェルディ川崎,国立競技場,E,N,● 2 - 2 (PK 3 - 4),2,2,"48,000人"
33,,,1993.01.26,南米遠征,マンディジュ(アルゼンチン),コリエンテス,I,A,● 0 - 1,0,1,"5,000人"
34,,,1993.01.28,南米遠征,オリンピア(パラグアイ),アスンシオン,I,A,● 1 - 5,1,5,"5,500人"
35,,,1993.01.30,南米遠征,ヒムナシア(アルゼンチン),ラプラタ,I,A,● 1 - 4,1,4,"2,000人"
36,,,1993.02.03,南米遠征,ベルグラーノ(アルゼンチン),コルドバ,I,A,● 0 - 1,0,1,"20,000人"
37,,,1993.02.06,南米遠征,タジェレス(アルゼンチン),コルドバ,I,A,● 0 - 1,0,1,"10,000人"
38,,,1993.04.04,太田市制45周年記念試合 プレシーズンマッチin群馬,ヴェルディ川崎,太田市運動公園陸上競技場,P,A,△ 0 - 0,0,0,"10,000人"
39,,,1993.04.10,エネルギアドリームinTOTTORI,サンフレッチェ広島,鳥取県立布勢総合運動公園陸上競技場,P,A,○ 2 - 1,2,1,"15,000人"
40,,,1993.04.17,プレシーズンマッチ,横浜フリューゲルス,宮城陸上競技場,P,A,△ 2 - 2,2,2,"6,500人"
41,,,1993.04.24,駒場競技場竣工記念浦和国際親善サッカー,マンチェスター・シティ(イングランド),浦和市駒場競技場,I,H,● 0 - 2,0,2,"5,518人"
42,,,1993.04.29,プレシーズンマッチ,横浜フリューゲルス,島原市営陸上競技場,P,A,● 0 - 3,0,3,"5,000人"
43,,,1993.05.01,セキスイハイムスポーツスペシャル,清水エスパルス,熊本市水前寺競技場,P,A,● 0 - 3,0,3,"11,500人"
44,14,1,1993.05.16,1993Jリーグサントリーシリーズ 第1節,ガンバ大阪,万博記念競技場,L,A,● 0 - 1,0,1,"19,580人"
45,15,2,1993.05.19,1993Jリーグサントリーシリーズ 第2節,名古屋グランパスエイト,浦和市駒場競技場,L,H,● 0 - 3,0,3,"9,259人"
46,16,3,1993.05.22,1993Jリーグサントリーシリーズ 第3節,横浜フリューゲルス,横浜市三ツ沢公園球技場,L,A,● 1 - 3,1,3,"7,469人"
47,,,1993.05.23,1993Jサテライトリーグ 第1節,ジュビロ磐田,ヤマハ磐田サッカー場,S,A,● 0 - 1,0,1,669人
48,17,4,1993.05.26,1993Jリーグサントリーシリーズ 第4節,ジェフユナイテッド市原,国立競技場,L,A,● 0 - 1,0,1,"45,033人"
49,18,5,1993.05.29,1993Jリーグサントリーシリーズ 第5節,ヴェルディ川崎,浦和市駒場競技場,L,H,○ 1 - 1 (PK 4 - 2),1,1,"9,690人"
50,,,1993.05.30,1993Jサテライトリーグ 第2節,柏レイソル,浦和市駒場競技場,S,H,● 1 - 3,1,3,525人
51,19,6,1993.06.02,1993Jリーグサントリーシリーズ 第6節,横浜マリノス,浦和市駒場競技場,L,H,● 0 - 1,0,1,"9,088人"
52,20,7,1993.06.05,1993Jリーグサントリーシリーズ 第7節,サンフレッチェ広島,広島スタジアム,L,A,● 0 - 1,0,1,"14,605人"
53,,,1993.06.05,1993Jサテライトリーグ 第3節,湘南ベルマーレ,海老名運動公園陸上競技場,S,A,● 1 - 4,1,4,171人
54,21,8,1993.06.09,1993Jリーグサントリーシリーズ 第8節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 1 - 3,1,3,"15,050人"
55,22,9,1993.06.12,1993Jリーグサントリーシリーズ 第9節,清水エスパルス,浦和市駒場競技場,L,H,○ 2 - 1,2,1,"9,590人"
56,,,1993.06.13,1993Jサテライトリーグ 第4節,ヴェルディ川崎,浦和市駒場競技場,S,H,● 3 - 5,3,5,"2,372人"
57,23,10,1993.06.16,1993Jリーグサントリーシリーズ 第10節,名古屋グランパスエイト,名古屋市瑞穂球技場,L,A,● 1 - 3,1,3,"12,227人"
58,24,11,1993.06.19,1993Jリーグサントリーシリーズ 第11節,ガンバ大阪,浦和市駒場競技場,L,H,● 1 - 3,1,3,"8,953人"
59,,,1993.06.20,1993Jサテライトリーグ 第5節,清水エスパルス,日本平運動公園球技場,S,A,○ 2 - 1,2,1,"1,403人"
60,25,12,1993.06.23,1993Jリーグサントリーシリーズ 第12節,ジェフユナイテッド市原,浦和市駒場競技場,L,H,● 2 - 3,2,3,"8,514人"
61,26,13,1993.06.26,1993Jリーグサントリーシリーズ 第13節,ヴェルディ川崎,等々力陸上競技場,L,A,● 0 - 1,0,1,"10,078人"
62,,,1993.06.27,1993Jサテライトリーグ 第6節,名古屋グランパスエイト,浦和市駒場競技場,S,H,○ 1 - 0,1,0,"1,895人"
63,27,14,1993.06.30,1993Jリーグサントリーシリーズ 第14節,横浜マリノス,横浜市三ツ沢公園球技場,L,A,● 1 - 5,1,5,"12,110人"
64,28,15,1993.07.03,1993Jリーグサントリーシリーズ 第15節,サンフレッチェ広島,浦和市駒場競技場,L,H,○ 1 - 0,1,0,"9,013人"
65,,,1993.07.04,1993Jサテライトリーグ 第7節,鹿島アントラーズ,住友金属工業(株)総合グラウンド,S,A,● 0 - 3,0,3,"1,229人"
66,29,16,1993.07.07,1993Jリーグサントリーシリーズ 第16節,鹿島アントラーズ,浦和市駒場競技場,L,H,● 0 - 2,0,2,"9,325人"
67,30,17,1993.07.10,1993Jリーグサントリーシリーズ 第17節,清水エスパルス,日本平運動公園球技場,L,A,● 0 - 0 (PK 5 - 6),0,0,"9,448人"
68,31,18,1993.07.14,1993Jリーグサントリーシリーズ 第18節,横浜フリューゲルス,浦和市駒場競技場,L,H,● 0 - 2,0,2,"8,905人"
69,,,1993.07.18,1993Jサテライトリーグ 第9節,ジェフユナイテッド市原,浦和市駒場競技場,S,H,● 0 - 2,0,2,"1,726人"
70,32,19,1993.07.24,1993JリーグNICOSシリーズ 第1節,サンフレッチェ広島,広島スタジアム,L,A,● 0 - 4,0,4,"13,067人"
71,,,1993.07.25,1993Jサテライトリーグ 第10節,横浜マリノス,秋津総合運動公園サッカー場,S,A,○ 2 - 0,2,0,132人
72,33,20,1993.07.31,1993JリーグNICOSシリーズ 第2節,横浜マリノス,浦和市駒場競技場,L,H,○ 0 - 0 (PK 4 - 2),0,0,"9,375人"
73,,,1993.08.01,1993Jサテライトリーグ 第11節,ガンバ大阪,浦和市駒場競技場,S,H,○ 2 - 1,2,1,"2,330人"
74,34,21,1993.08.04,1993JリーグNICOSシリーズ 第3節,ガンバ大阪,万博記念競技場,L,A,○ 1 - 0,1,0,"20,259人"
75,35,22,1993.08.07,1993JリーグNICOSシリーズ 第4節,名古屋グランパスエイト,三重県営鈴鹿スポーツガーデン,L,A,● 1 - 4,1,4,"11,858人"
76,,,1993.08.08,1993Jサテライトリーグ 第12節,サンフレッチェ広島,広島広域公園第一球技場,S,A,● 0 - 1,0,1,136人
77,36,23,1993.08.14,1993JリーグNICOSシリーズ 第5節,ジェフユナイテッド市原,浦和市駒場競技場,L,H,● 2 - 3,2,3,"9,366人"
78,,,1993.08.15,1993Jサテライトリーグ 第13節,横浜フリューゲルス,浦和市駒場競技場,S,H,○ 3 - 2,3,2,"2,594人"
79,37,24,1993.08.20,1993JリーグNICOSシリーズ 第6節,横浜フリューゲルス,浦和市駒場競技場,L,H,● 0 - 1,0,1,"9,267人"
80,,,1993.08.22,1993Jサテライトリーグ 第14節,ジュビロ磐田,浦和市駒場競技場,S,H,● 0 - 2,0,2,"2,059人"
81,38,25,1993.08.25,1993JリーグNICOSシリーズ 第7節,清水エスパルス,日本平運動公園球技場,L,A,● 0 - 3,0,3,"8,699人"
82,39,26,1993.08.28,1993JリーグNICOSシリーズ 第8節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 0 - 2,0,2,"14,353人"
83,,,1993.08.29,1993Jサテライトリーグ 第15節,柏レイソル,日立柏サッカー場,S,A,● 2 - 3,2,3,"2,852人"
84,40,27,1993.09.03,1993JリーグNICOSシリーズ 第9節,ヴェルディ川崎,浦和市駒場競技場,L,H,● 0 - 6,0,6,"9,771人"
85,,,1993.09.05,1993Jサテライトリーグ 第16節,ベルマーレ平塚,浦和市駒場競技場,S,H,○ 2 - 1,2,1,"3,694人"
86,41,,1993.09.11,1993Jリーグヤマザキナビスコカップ 予選リーグ 第1節,ジュビロ磐田,県営浜松球技場,LC,A,● 0 - 4,0,4,"9,132人"
87,,,1993.09.12,1993Jサテライトリーグ 第17節,ヴェルディ川崎,町田市立陸上競技場,S,A,● 0 - 4,0,4,"1,605人"
88,42,,1993.09.18,1993Jリーグヤマザキナビスコカップ 予選リーグ 第3節,横浜フリューゲルス,埼玉県営大宮公園サッカー場,LC,H,● 1 - 1 (PK 4 - 5),1,1,"9,743人"
89,,,1993.09.19,1993Jサテライトリーグ 第18節,清水エスパルス,浦和市駒場競技場,S,H,○ 2 - 1,2,1,"1,931人"
90,43,,1993.09.25,1993Jリーグヤマザキナビスコカップ 予選リーグ 第4節,清水エスパルス,札幌厚別公園競技場,LC,A,● 2 - 3,2,3,"20,237人"
91,,,1993.09.26,1993Jサテライトリーグ 第19節,名古屋グランパスエイト,三重県営鈴鹿スポーツガーデン,S,A,● 0 - 3,0,3,"2,256人"
92,44,,1993.10.02,1993Jリーグヤマザキナビスコカップ 予選リーグ 第5節,名古屋グランパスエイト,埼玉県営大宮公園サッカー場,LC,H,○ 3 - 2,3,2,"9,470人"
93,,,1993.10.03,1993Jサテライトリーグ 第20節,鹿島アントラーズ,浦和市駒場競技場,S,H,● 1 - 2,1,2,"2,617人"
94,,,1993.10.16,1993Jサテライトリーグ 第22節,ジェフユナイテッド市原,秋津総合運動公園サッカー場,S,A,○ 3 - 0,3,0,309人
95,45,,1993.10.16,1993Jリーグヤマザキナビスコカップ 予選リーグ 第7節,横浜マリノス,埼玉県営大宮公園サッカー場,LC,H,● 1 - 2,1,2,"9,092人"
96,,,1993.10.24,1993Jサテライトリーグ 第23節,横浜マリノス,浦和市駒場競技場,S,H,● 1 - 2,1,2,"3,273人"
97,,,1993.10.30,1993Jサテライトリーグ 第24節,ガンバ大阪,尼崎市立記念公園陸上競技場,S,A,● 2 - 3,2,3,"1,702人"
98,46,28,1993.11.06,1993JリーグNICOSシリーズ 第10節,横浜マリノス,横浜市三ツ沢公園球技場,L,A,● 2 - 3,2,3,"14,207人"
99,,,1993.11.07,1993Jサテライトリーグ 第25節,サンフレッチェ広島,浦和市駒場競技場,S,H,● 1 - 3,1,3,"2,645人"
100,47,29,1993.11.10,1993JリーグNICOSシリーズ 第11節,サンフレッチェ広島,浦和市駒場競技場,L,H,● 1 - 2,1,2,"8,258人"
101,48,30,1993.11.13,1993JリーグNICOSシリーズ 第12節,名古屋グランパスエイト,浦和市駒場競技場,L,H,● 0 - 5,0,5,"9,347人"
102,,,1993.11.13,1993Jサテライトリーグ 第26節,横浜フリューゲルス,町田市立陸上競技場,S,A,● 0 - 2,0,2,454人
103,49,31,1993.11.17,1993JリーグNICOSシリーズ 第13節,ジェフユナイテッド市原,国立競技場,L,A,○ 3 - 2,3,2,"53,570人"
104,50,32,1993.11.20,1993JリーグNICOSシリーズ 第14節,横浜フリューゲルス,鹿児島県立鴨池陸上競技場,L,A,● 1 - 2,1,2,"15,121人"
105,51,33,1993.11.27,1993JリーグNICOSシリーズ 第15節,清水エスパルス,国立競技場,L,H,● 0 - 2,0,2,"50,348人"
106,52,34,1993.12.01,1993JリーグNICOSシリーズ 第16節,鹿島アントラーズ,浦和市駒場競技場,L,H,○ 2 - 1,2,1,"9,256人"
107,53,,1993.12.05,第73回天皇杯全日本サッカー選手権大会 1回戦,大塚製薬,横浜市三ツ沢公園球技場,E,N,○ 3 - 0,3,0,"14,000人"
108,54,35,1993.12.08,1993JリーグNICOSシリーズ 第17節,ヴェルディ川崎,国立競技場,L,A,● 0 - 4,0,4,"50,310人"
109,55,,1993.12.11,第73回天皇杯全日本サッカー選手権大会 2回戦,横浜フリューゲルス,栃木県グリーンスタジアム,E,N,● 3 - 4,3,4,"14,702人"
110,56,36,1993.12.15,1993JリーグNICOSシリーズ 第18節,ガンバ大阪,浦和市駒場競技場,L,H,○ 2 - 0,2,0,"8,940人"
111,,,1994.02.09,オーストラリア遠征,アデレード・シティ(オーストラリア),ハインドマーシュ・スタジアム,I,A,△ 2 - 2,2,2,"10,000人"
112,,,1994.02.13,オーストラリア遠征,南オーストラリア州選抜,アデレード,I,A,○ 4 - 0,4,0,-
113,,,1994.02.16,オーストラリア遠征,オーストラリア・オリンピック代表,キャンベラ,I,A,● 1 - 3,1,3,"2,000人"
114,,,1994.02.20,オーストラリア遠征,キャンベラ選抜,キャンベラ,I,A,○ 3 - 0,3,0,500人
115,,,1994.02.27,NHK BSサッカーJリーグエキシビジョン,ベルマーレ平塚,浦和市駒場競技場,P,H,○ 2 - 1,2,1,"9,169人"
116,57,37,1994.03.12,1994Jリーグサントリーシリーズ 第1節,横浜マリノス,横浜市三ツ沢公園球技場,L,A,● 0 - 2,0,2,"13,991人"
117,,,1994.03.13,1994Jサテライトリーグ 第1節,ジェフユナイテッド市原,市原臨海競技場,S,A,○ 2 - 0,2,0,588人
118,58,38,1994.03.16,1994Jリーグサントリーシリーズ 第2節,清水エスパルス,浦和市駒場競技場,L,H,● 0 - 2,0,2,"9,290人"
119,59,39,1994.03.19,1994Jリーグサントリーシリーズ 第3節,ジェフユナイテッド市原,市原臨海競技場,L,A,● 2 - 3,2,3,"9,837人"
120,,,1994.03.20,1994Jサテライトリーグ 第2節,柏レイソル,浦和市駒場競技場,S,H,○ 3 - 3 (PK 4 - 3),3,3,"1,421人"
121,60,40,1994.03.23,1994Jリーグサントリーシリーズ 第4節,サンフレッチェ広島,浦和市駒場競技場,L,H,● 0 - 1,0,1,"7,854人"
122,61,41,1994.03.26,1994Jリーグサントリーシリーズ 第5節,名古屋グランパスエイト,名古屋市瑞穂球技場,L,A,● 2 - 7,2,7,"11,488人"
123,,,1994.03.27,1994Jサテライトリーグ 第3節,鹿島アントラーズ,住友金属工業(株)総合グラウンド,S,A,● 2 - 3,2,3,953人
124,62,42,1994.04.02,1994Jリーグサントリーシリーズ 第6節,ガンバ大阪,浦和市駒場競技場,L,H,○ 2 - 1,2,1,"9,157人"
125,,,1994.04.03,1994Jサテライトリーグ 第4節,サンフレッチェ広島,浦和市駒場競技場,S,H,● 0 - 1,0,1,"1,450人"
126,63,43,1994.04.06,1994Jリーグサントリーシリーズ 第7節,横浜フリューゲルス,鹿児島県立鴨池陸上競技場,L,A,● 1 - 2,1,2,"10,130人"
127,64,44,1994.04.09,1994Jリーグサントリーシリーズ 第8節,ジュビロ磐田,ジュビロ磐田スタジアム,L,A,● 0 - 1,0,1,"13,842人"
128,,,1994.04.10,1994Jサテライトリーグ 第5節,ガンバ大阪,奈良市立鴻ノ池競技場,S,A,● 0 - 2,0,2,"3,328人"
129,65,45,1994.04.13,1994Jリーグサントリーシリーズ 第9節,ベルマーレ平塚,浦和市駒場競技場,L,H,○ 4 - 1,4,1,"9,408人"
130,66,46,1994.04.16,1994Jリーグサントリーシリーズ 第10節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 2 - 4,2,4,"14,057人"
131,,,1994.04.17,1994Jサテライトリーグ 第6節,横浜マリノス,浦和市駒場競技場,S,H,● 1 - 2,1,2,"3,179人"
132,67,47,1994.04.23,1994Jリーグサントリーシリーズ 第11節,ヴェルディ川崎,国立競技場,L,H,● 0 - 1,0,1,"52,028人"
133,,,1994.04.24,1994Jサテライトリーグ 第7節,名古屋グランパスエイト,三重県営鈴鹿スポーツガーデン,S,A,○ 4 - 3,4,3,"1,392人"
134,68,48,1994.04.27,1994Jリーグサントリーシリーズ 第12節,清水エスパルス,静岡県営草薙陸上競技場,L,A,● 1 - 2,1,2,"17,789人"
135,69,49,1994.04.30,1994Jリーグサントリーシリーズ 第13節,ジェフユナイテッド市原,浦和市駒場競技場,L,H,● 0 - 2,0,2,"9,393人"
136,,,1994.05.01,1994Jサテライトリーグ 第8節,清水エスパルス,浦和市駒場競技場,S,H,● 0 - 1,0,1,"3,208人"
137,70,50,1994.05.04,1994Jリーグサントリーシリーズ 第14節,サンフレッチェ広島,広島ビッグアーチ,L,A,● 0 - 1,0,1,"21,077人"
138,71,51,1994.05.07,1994Jリーグサントリーシリーズ 第15節,名古屋グランパスエイト,国立競技場,L,H,● 0 - 1,0,1,"52,440人"
139,,,1994.05.08,1994Jサテライトリーグ 第9節,ジュビロ磐田,ジュビロ磐田スタジアム,S,A,● 1 - 2,1,2,"3,707人"
140,72,52,1994.05.14,1994Jリーグサントリーシリーズ 第16節,ガンバ大阪,神戸総合運動公園ユニバー記念競技場,L,A,○ 2 - 1,2,1,"37,292人"
141,,,1994.05.15,1994Jサテライトリーグ 第10節,横浜フリューゲルス,浦和市駒場競技場,S,H,● 0 - 2,0,2,"2,823人"
142,73,53,1994.05.18,1994Jリーグサントリーシリーズ 第17節,横浜フリューゲルス,国立競技場,L,H,○ 3 - 0,3,0,"48,466人"
143,74,54,1994.06.01,1994Jリーグサントリーシリーズ 第18節,ジュビロ磐田,浦和市駒場競技場,L,H,● 0 - 1,0,1,"9,408人"
144,75,55,1994.06.04,1994Jリーグサントリーシリーズ 第19節,ベルマーレ平塚,平塚競技場,L,A,○ 4 - 2,4,2,"14,832人"
145,,,1994.06.05,1994Jサテライトリーグ 第11節,ベルマーレ平塚,郡山市営開成山陸上競技場,S,A,● 0 - 0 (PK 7 - 8),0,0,"6,354人"
146,76,56,1994.06.08,1994Jリーグサントリーシリーズ 第20節,鹿島アントラーズ,浦和市駒場競技場,L,H,● 1 - 4,1,4,"9,674人"
147,77,57,1994.06.11,1994Jリーグサントリーシリーズ 第21節,ヴェルディ川崎,等々力陸上競技場,L,A,● 0 - 3,0,3,"10,597人"
148,,,1994.06.12,1994Jサテライトリーグ 第12節,セレッソ大阪,水口スポーツの森サッカー場,S,A,● 2 - 3,2,3,954人
149,78,58,1994.06.15,1994Jリーグサントリーシリーズ 第22節,横浜マリノス,浦和市駒場競技場,L,H,○ 2 - 1,2,1,"9,822人"
150,,,1994.06.26,プレシーズンマッチin山梨,ベルマーレ平塚,山梨県小瀬スポーツ公園陸上競技場,P,H,● 1 - 3,1,3,"15,272人"
151,,,1994.06.29,浦和国際親善サッカー,インデペンディエンテ(アルゼンチン),浦和市駒場競技場,I,H,● 3 - 5,3,5,"9,102人"
152,,,1994.07.03,プロサッカースペシャルマッチ,柏レイソル,岩手県営陸上競技場,P,A,● 0 - 1,0,1,"13,633人"
153,,,1994.07.10,ニッセイカップスーパーサッカーサマーフェスティバル,横浜フリューゲルス,札幌厚別公園競技場,P,A,● 2 - 3,2,3,"16,883人"
154,,,1994.07.16,Jリーグプレシーズンマッチ,名古屋グランパスエイト,岐阜メモリアルセンター長良川競技場,P,A,● 2 - 6,2,6,"23,878人"
155,,,1994.07.19,コカ・コーラカップin福岡,オリンピア(パラグアイ),福岡ドーム,I,H,● 0 - 1,0,1,"27,078人"
156,,,1994.07.24,1994Jサテライトリーグ 第13節,ヴェルディ川崎,岩沼市陸上競技場,S,H,● 1 - 4,1,4,"2,321人"
157,79,,1994.07.27,1994Jリーグヤマザキナビスコカップ 1回戦,鹿島アントラーズ,茨城県立カシマサッカースタジアム,LC,A,○ 2 - 1,2,1,"16,078人"
158,80,,1994.07.30,1994Jリーグヤマザキナビスコカップ 2回戦,ガンバ大阪,万博記念競技場,LC,A,● 0 - 3,0,3,"20,556人"
159,,,1994.07.31,1994Jサテライトリーグ 第14節,柏レイソル,成田市中台運動公園陸上競技場,S,A,● 0 - 1,0,1,"1,148人"
160,,,1994.08.07,1994Jサテライトリーグ 第15節,鹿島アントラーズ,鴻巣市立陸上競技場,S,H,● 1 - 2,1,2,"3,232人"
161,81,59,1994.08.10,1994JリーグNICOSシリーズ 第1節,横浜マリノス,横浜市三ツ沢公園球技場,L,A,● 0 - 3,0,3,"13,639人"
162,82,60,1994.08.13,1994JリーグNICOSシリーズ 第2節,清水エスパルス,埼玉県営大宮公園サッカー場,L,H,○ 2 - 0,2,0,"9,488人"
163,,,1994.08.14,1994Jサテライトリーグ 第16節,サンフレッチェ広島,びんご運動公園陸上競技場,S,A,○ 1 - 1 (PK 4 - 3),1,1,"1,995人"
164,83,61,1994.08.17,1994JリーグNICOSシリーズ 第3節,ジェフユナイテッド市原,市原臨海競技場,L,A,○ 4 - 3,4,3,"10,502人"
165,84,62,1994.08.20,1994JリーグNICOSシリーズ 第4節,サンフレッチェ広島,埼玉県営大宮公園サッカー場,L,H,● 0 - 2,0,2,"9,367人"
166,,,1994.08.21,1994Jサテライトリーグ 第17節,ガンバ大阪,川越運動公園陸上競技場,S,H,○ 2 - 0,2,0,892人
167,85,63,1994.08.27,1994JリーグNICOSシリーズ 第5節,名古屋グランパスエイト,岐阜メモリアルセンター長良川競技場,L,A,● 2 - 4,2,4,"25,096人"
168,,,1994.08.28,1994Jサテライトリーグ 第18節,横浜マリノス,厚木市荻野運動公園陸上競技場,S,A,○ 4 - 3,4,3,976人
169,86,64,1994.08.31,1994JリーグNICOSシリーズ 第6節,ガンバ大阪,埼玉県営大宮公園サッカー場,L,H,○ 1 - 0,1,0,"9,611人"
170,87,65,1994.09.03,1994JリーグNICOSシリーズ 第7節,横浜フリューゲルス,横浜市三ツ沢公園球技場,L,A,○ 1 - 0,1,0,"14,083人"
171,,,1994.09.04,1994Jサテライトリーグ 第19節,名古屋グランパスエイト,川越運動公園陸上競技場,S,H,● 1 - 2,1,2,"1,790人"
172,88,66,1994.09.07,1994JリーグNICOSシリーズ 第8節,ジュビロ磐田,ジュビロ磐田スタジアム,L,A,● 1 - 2,1,2,"14,163人"
173,89,67,1994.09.10,1994JリーグNICOSシリーズ 第9節,ベルマーレ平塚,埼玉県営大宮公園サッカー場,L,H,● 1 - 4,1,4,"9,230人"
174,,,1994.09.11,1994Jサテライトリーグ 第20節,清水エスパルス,西ヶ谷陸上競技場,S,A,○ 2 - 1,2,1,"1,358人"
175,90,68,1994.09.14,1994JリーグNICOSシリーズ 第10節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 0 - 2,0,2,"15,661人"
176,91,69,1994.09.17,1994JリーグNICOSシリーズ 第11節,ヴェルディ川崎,国立競技場,L,H,● 1 - 3,1,3,"55,125人"
177,,,1994.09.18,1994Jサテライトリーグ 第21節,ジュビロ磐田,川越運動公園陸上競技場,S,H,● 1 - 2,1,2,"2,051人"
178,92,70,1994.09.21,1994JリーグNICOSシリーズ 第12節,清水エスパルス,静岡県営草薙陸上競技場,L,A,● 4 - 5,4,5,"19,001人"
179,,,1994.09.25,1994Jサテライトリーグ 第22節,横浜フリューゲルス,秋津総合運動公園サッカー場,S,A,● 2 - 4,2,4,605人
180,,,1994.10.01,Jリーグプレシーズンマッチ TOHO CUP,横浜マリノス,郡山市営開成山陸上競技場,P,A,● 2 - 2 (PK 4 - 5),2,2,"9,451人"
