試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数
573,385,268,2001.05.19,2001Jリーグ ディビジョン1 1stステージ 第10節,ガンバ大阪,さいたま市浦和駒場スタジアム,L,H,● 1 - 2,1,2,"19,186人"
574,,,2001.05.20,2001Jサテライトリーグ 第10日,FC東京,さいたま市浦和駒場スタジアム,S,H,○ 2 - 1,2,1,"2,574人"
575,386,,2001.06.13,2001Jリーグヤマザキナビスコカップ 2回戦 第1戦,ガンバ大阪,万博記念競技場,LC,A,○ 3 - 1,3,1,"4,147人"
576,387,269,2001.06.16,2001Jリーグ ディビジョン1 1stステージ 第11節,清水エスパルス,日本平スタジアム,L,A,● 0 - 1,0,1,"17,817人"
577,388,,2001.06.20,2001Jリーグヤマザキナビスコカップ 2回戦 第2戦,ガンバ大阪,さいたま市浦和駒場スタジアム,LC,H,○ 3 - 2,3,2,"9,285人"
578,389,270,2001.06.23,2001Jリーグ ディビジョン1 1stステージ 第12節,コンサドーレ札幌,さいたま市浦和駒場スタジアム,L,H,○ 2 - 0,2,0,"19,277人"
579,,,2001.07.01,2001Jサテライトリーグ 第13日,東京ヴェルディ1969,鴻巣市立陸上競技場,S,H,● 0 - 2,0,2,"1,257人"
580,390,271,2001.07.07,2001Jリーグ ディビジョン1 1stステージ 第13節,柏レイソル,国立競技場,L,A,● 2 - 3,2,3,"32,215人"
581,,,2001.07.08,2001Jサテライトリーグ 第14日,ジェフユナイテッド市原,市原臨海競技場,S,A,● 1 - 3,1,3,442人
582,391,272,2001.07.14,2001Jリーグ ディビジョン1 1stステージ 第14節,ジェフユナイテッド市原,さいたま市浦和駒場スタジアム,L,H,○ 3 - 1,3,1,"19,978人"
583,392,273,2001.07.21,2001Jリーグ ディビジョン1 1stステージ 第15節,サンフレッチェ広島,広島ビッグアーチ,L,A,○ 3 - 1,3,1,"18,630人"
584,,,2001.07.22,2001Jサテライトリーグ 第16日,柏レイソル,日立柏サッカー場,S,A,○ 1 - 0,1,0,"2,153人"
585,393,,2001.08.08,2001Jリーグヤマザキナビスコカップ 準々決勝 第1戦,鹿島アントラーズ,さいたま市浦和駒場スタジアム,LC,H,○ 1 - 0,1,0,"12,062人"
586,394,274,2001.08.11,2001Jリーグ ディビジョン1 2ndステージ 第1節,ヴィッセル神戸,さいたま市浦和駒場スタジアム,L,H,● 1 - 3,1,3,"17,371人"
587,395,275,2001.08.18,2001Jリーグ ディビジョン1 2ndステージ 第2節,東京ヴェルディ1969,東京スタジアム,L,A,● 1 - 2,1,2,"20,345人"
延期,延期,,2001.08.22,2001Jリーグヤマザキナビスコカップ 準々決勝 第2戦,鹿島アントラーズ,茨城県立カシマサッカースタジアム,LC,A,延期,-,-,-
588,396,276,2001.08.25,2001Jリーグ ディビジョン1 2ndステージ 第3節,サンフレッチェ広島,さいたま市浦和駒場スタジアム,L,H,○ 2 - 1,2,1,"17,418人"
589,397,,2001.08.29,2001Jリーグヤマザキナビスコカップ 準々決勝 第2戦,鹿島アントラーズ,茨城県立カシマサッカースタジアム,LC,A,● 0 - 2,0,2,"11,472人"
590,398,277,2001.09.08,2001Jリーグ ディビジョン1 2ndステージ 第4節,ジェフユナイテッド市原,国立競技場,L,A,● 1 - 2,1,2,"15,758人"
591,,,2001.09.09,2001Jサテライトリーグ 第20日,東京ヴェルディ1969,ヴェルディグラウンド,S,A,○ 4 - 0,4,0,138人
592,399,278,2001.09.15,2001Jリーグ ディビジョン1 2ndステージ 第5節,ジュビロ磐田,ジュビロ磐田スタジアム,L,A,● 1 - 2,1,2,"15,043人"
593,,,2001.09.19,2001Jサテライトリーグ 第22日,FC東京,西が丘サッカー場,S,A,● 2 - 3,2,3,"1,328人"
