試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数,date,year,month,day,weekday,result,延期or中止
1,,,1992.04.04,浦和国際親善サッカー,ポート・オーソリティ(タイ),浦和市駒場競技場,I,H,○ 3 - 0,3,0,4000,1992-04-04,1992,4,4,土,W,False
2,,,1992.07.11,東南アジア遠征,ポート・オーソリティ(タイ),バンコク,I,A,○ 3 - 2,3,2,5000,1992-07-11,1992,7,11,土,W,False
3,,,1992.07.14,東南アジア遠征,タイ・ユース代表,バンコク,I,A,○ 1 - 0,1,0,6000,1992-07-14,1992,7,14,火,W,False
4,,,1992.07.17,東南アジア遠征,KLポリス(マレーシア),クアラルンプール,I,A,○ 1 - 0,1,0,100,1992-07-17,1992,7,17,金,W,False
5,,,1992.07.21,東南アジア遠征,KLアーミー(マレーシア),クアラルンプール,I,A,○ 3 - 0,3,0,500,1992-07-21,1992,7,21,火,W,False
6,,,1992.08.02,Jリーグオープン戦,ジェフユナイテッド市原,山形県あかねヶ丘陸上競技場,P,A,△ 0 - 0,0,0,10000,1992-08-02,1992,8,2,日,D,False
7,,,1992.08.09,朝霞市制25周年記念試合 朝霞サッカーフェスティバル,横浜マリノス,朝霞中央公園陸上競技場,P,H,△ 2 - 2,2,2,3500,1992-08-09,1992,8,9,日,D,False
8,,,1992.08.19,スーパーロードカップ,ヴェルディ川崎,栃木市総合運動公園陸上競技場,P,A,△ 2 - 2,2,2,7000,1992-08-19,1992,8,19,水,D,False
9,,,1992.08.22,1992 ファームリーグ,ジェフユナイテッド市原,江戸川区陸上競技場,S,H,● 0 - 1,0,1,301,1992-08-22,1992,8,22,土,L,False
10,,,1992.08.30,1992 ファームリーグ,名古屋グランパスエイト,豊田市運動公園陸上競技場,S,A,○ 2 - 1,2,1,2071,1992-08-30,1992,8,30,日,W,False
11,1,,1992.09.05,1992Jリーグヤマザキナビスコカップ 予選リーグ 第1節,ジェフユナイテッド市原,埼玉県営大宮公園サッカー場,LC,H,● 2 - 3,2,3,4934,1992-09-05,1992,9,5,土,L,False
12,2,,1992.09.09,1992Jリーグヤマザキナビスコカップ 予選リーグ 第2節,サンフレッチェ広島,広島スタジアム,LC,A,○ 3 - 2,3,2,3128,1992-09-09,1992,9,9,水,W,False
13,3,,1992.09.12,1992Jリーグヤマザキナビスコカップ 予選リーグ 第3節,ヴェルディ川崎,等々力陸上競技場,LC,A,● 0 - 1,0,1,9022,1992-09-12,1992,9,12,土,L,False
14,,,1992.09.13,1992 ファームリーグ,読売ヴェルディ川崎,等々力陸上競技場,S,A,● 0 - 2,0,2,267,1992-09-13,1992,9,13,日,L,False
15,4,,1992.09.19,1992Jリーグヤマザキナビスコカップ 予選リーグ 第4節,鹿島アントラーズ,埼玉県営大宮公園サッカー場,LC,H,○ 3 - 2,3,2,8948,1992-09-19,1992,9,19,土,W,False
16,5,,1992.09.22,1992Jリーグヤマザキナビスコカップ 予選リーグ 第5節,横浜フリューゲルス,平塚競技場,LC,A,○ 2 - 1,2,1,5684,1992-09-22,1992,9,22,火,W,False
17,6,,1992.09.27,1992Jリーグヤマザキナビスコカップ 予選リーグ 第6節,横浜マリノス,川越運動公園陸上競技場,LC,H,○ 2 - 1,2,1,7199,1992-09-27,1992,9,27,日,W,False
18,,,1992.09.30,1992 ファームリーグ,横浜フリューゲルス,江戸川区陸上競技場,S,H,● 3 - 4,3,4,281,1992-09-30,1992,9,30,水,L,False
19,7,,1992.10.03,1992Jリーグヤマザキナビスコカップ 予選リーグ 第7節,清水エスパルス,日本平運動公園球技場,LC,A,● 1 - 4,1,4,5321,1992-10-03,1992,10,3,土,L,False
20,8,,1992.10.07,1992Jリーグヤマザキナビスコカップ 予選リーグ 第8節,名古屋グランパスエイト,埼玉県営大宮公園サッカー場,LC,H,● 0 - 1,0,1,9696,1992-10-07,1992,10,7,水,L,False
21,,,1992.10.10,1992 ファームリーグ,横浜マリノス,日立柏サッカー場,S,A,● 2 - 3,2,3,160,1992-10-10,1992,10,10,土,L,False
22,9,,1992.10.11,1992Jリーグヤマザキナビスコカップ 予選リーグ 第9節,ガンバ大阪,神戸総合運動公園ユニバー記念競技場,LC,A,○ 2 - 1,2,1,15871,1992-10-11,1992,10,11,日,W,False
23,,,1992.10.24,プレシーズンマッチ,清水エスパルス,岡山県総合グラウンド陸上競技場,P,A,△ 2 - 2,2,2,10000,1992-10-24,1992,10,24,土,D,False
24,,,1992.10.25,1992 ファームリーグ,鹿島アントラーズ,江戸川区陸上競技場,S,H,○ 3 - 0,3,0,311,1992-10-25,1992,10,25,日,W,False
25,,,1992.11.14,1992 ファームリーグ,清水エスパルス,日本平運動公園球技場,S,A,● 2 - 3,2,3,741,1992-11-14,1992,11,14,土,L,False
26,,,1992.11.15,Jリーグプレシーズンマッチin下関,横浜フリューゲルス,下関市営下関陸上競技場,P,A,△ 1 - 1,1,1,5000,1992-11-15,1992,11,15,日,D,False
27,,,1992.11.21,1992 ファームリーグ,サンフレッチェ広島,江戸川区陸上競技場,S,H,● 0 - 1,0,1,317,1992-11-21,1992,11,21,土,L,False
28,,,1992.11.29,1992 ファームリーグ,ガンバ大阪,神戸市立中央球技場,S,A,○ 2 - 1,2,1,602,1992-11-29,1992,11,29,日,W,False
29,10,,1992.12.05,第72回天皇杯全日本サッカー選手権大会 1回戦,アンフィニ札幌,埼玉県営大宮公園サッカー場,E,N,○ 2 - 1,2,1,5000,1992-12-05,1992,12,5,土,W,False
30,11,,1992.12.06,第72回天皇杯全日本サッカー選手権大会 2回戦,富士通,埼玉県営大宮公園サッカー場,E,N,○ 3 - 0,3,0,3500,1992-12-06,1992,12,6,日,W,False
31,12,,1992.12.20,第72回天皇杯全日本サッカー選手権大会 準々決勝,鹿島アントラーズ,姫路市立陸上競技場,E,N,○ 2 - 1,2,1,15000,1992-12-20,1992,12,20,日,W,False
32,13,,1992.12.23,第72回天皇杯全日本サッカー選手権大会 準決勝,ヴェルディ川崎,国立競技場,E,N,● 2 - 2 (PK 3 - 4),2,2,48000,1992-12-23,1992,12,23,水,L,False
33,,,1993.01.26,南米遠征,マンディジュ(アルゼンチン),コリエンテス,I,A,● 0 - 1,0,1,5000,1993-01-26,1993,1,26,火,L,False
34,,,1993.01.28,南米遠征,オリンピア(パラグアイ),アスンシオン,I,A,● 1 - 5,1,5,5500,1993-01-28,1993,1,28,木,L,False
35,,,1993.01.30,南米遠征,ヒムナシア(アルゼンチン),ラプラタ,I,A,● 1 - 4,1,4,2000,1993-01-30,1993,1,30,土,L,False
36,,,1993.02.03,南米遠征,ベルグラーノ(アルゼンチン),コルドバ,I,A,● 0 - 1,0,1,20000,1993-02-03,1993,2,3,水,L,False
37,,,1993.02.06,南米遠征,タジェレス(アルゼンチン),コルドバ,I,A,● 0 - 1,0,1,10000,1993-02-06,1993,2,6,土,L,False
38,,,1993.04.04,太田市制45周年記念試合 プレシーズンマッチin群馬,ヴェルディ川崎,太田市運動公園陸上競技場,P,A,△ 0 - 0,0,0,10000,1993-04-04,1993,4,4,日,D,False
39,,,1993.04.10,エネルギアドリームinTOTTORI,サンフレッチェ広島,鳥取県立布勢総合運動公園陸上競技場,P,A,○ 2 - 1,2,1,15000,1993-04-10,1993,4,10,土,W,False
40,,,1993.04.17,プレシーズンマッチ,横浜フリューゲルス,宮城陸上競技場,P,A,△ 2 - 2,2,2,6500,1993-04-17,1993,4,17,土,D,False
41,,,1993.04.24,駒場競技場竣工記念浦和国際親善サッカー,マンチェスター・シティ(イングランド),浦和市駒場競技場,I,H,● 0 - 2,0,2,5518,1993-04-24,1993,4,24,土,L,False
42,,,1993.04.29,プレシーズンマッチ,横浜フリューゲルス,島原市営陸上競技場,P,A,● 0 - 3,0,3,5000,1993-04-29,1993,4,29,木,L,False
43,,,1993.05.01,セキスイハイムスポーツスペシャル,清水エスパルス,熊本市水前寺競技場,P,A,● 0 - 3,0,3,11500,1993-05-01,1993,5,1,土,L,False
44,14,1,1993.05.16,1993Jリーグサントリーシリーズ 第1節,ガンバ大阪,万博記念競技場,L,A,● 0 - 1,0,1,19580,1993-05-16,1993,5,16,日,L,False
45,15,2,1993.05.19,1993Jリーグサントリーシリーズ 第2節,名古屋グランパスエイト,浦和市駒場競技場,L,H,● 0 - 3,0,3,9259,1993-05-19,1993,5,19,水,L,False
46,16,3,1993.05.22,1993Jリーグサントリーシリーズ 第3節,横浜フリューゲルス,横浜市三ツ沢公園球技場,L,A,● 1 - 3,1,3,7469,1993-05-22,1993,5,22,土,L,False
47,,,1993.05.23,1993Jサテライトリーグ 第1節,ジュビロ磐田,ヤマハ磐田サッカー場,S,A,● 0 - 1,0,1,669,1993-05-23,1993,5,23,日,L,False
48,17,4,1993.05.26,1993Jリーグサントリーシリーズ 第4節,ジェフユナイテッド市原,国立競技場,L,A,● 0 - 1,0,1,45033,1993-05-26,1993,5,26,水,L,False
49,18,5,1993.05.29,1993Jリーグサントリーシリーズ 第5節,ヴェルディ川崎,浦和市駒場競技場,L,H,○ 1 - 1 (PK 4 - 2),1,1,9690,1993-05-29,1993,5,29,土,W,False
50,,,1993.05.30,1993Jサテライトリーグ 第2節,柏レイソル,浦和市駒場競技場,S,H,● 1 - 3,1,3,525,1993-05-30,1993,5,30,日,L,False
51,19,6,1993.06.02,1993Jリーグサントリーシリーズ 第6節,横浜マリノス,浦和市駒場競技場,L,H,● 0 - 1,0,1,9088,1993-06-02,1993,6,2,水,L,False
52,20,7,1993.06.05,1993Jリーグサントリーシリーズ 第7節,サンフレッチェ広島,広島スタジアム,L,A,● 0 - 1,0,1,14605,1993-06-05,1993,6,5,土,L,False
53,,,1993.06.05,1993Jサテライトリーグ 第3節,湘南ベルマーレ,海老名運動公園陸上競技場,S,A,● 1 - 4,1,4,171,1993-06-05,1993,6,5,土,L,False
54,21,8,1993.06.09,1993Jリーグサントリーシリーズ 第8節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 1 - 3,1,3,15050,1993-06-09,1993,6,9,水,L,False
55,22,9,1993.06.12,1993Jリーグサントリーシリーズ 第9節,清水エスパルス,浦和市駒場競技場,L,H,○ 2 - 1,2,1,9590,1993-06-12,1993,6,12,土,W,False
56,,,1993.06.13,1993Jサテライトリーグ 第4節,ヴェルディ川崎,浦和市駒場競技場,S,H,● 3 - 5,3,5,2372,1993-06-13,1993,6,13,日,L,False
57,23,10,1993.06.16,1993Jリーグサントリーシリーズ 第10節,名古屋グランパスエイト,名古屋市瑞穂球技場,L,A,● 1 - 3,1,3,12227,1993-06-16,1993,6,16,水,L,False
58,24,11,1993.06.19,1993Jリーグサントリーシリーズ 第11節,ガンバ大阪,浦和市駒場競技場,L,H,● 1 - 3,1,3,8953,1993-06-19,1993,6,19,土,L,False
59,,,1993.06.20,1993Jサテライトリーグ 第5節,清水エスパルス,日本平運動公園球技場,S,A,○ 2 - 1,2,1,1403,1993-06-20,1993,6,20,日,W,False
60,25,12,1993.06.23,1993Jリーグサントリーシリーズ 第12節,ジェフユナイテッド市原,浦和市駒場競技場,L,H,● 2 - 3,2,3,8514,1993-06-23,1993,6,23,水,L,False
61,26,13,1993.06.26,1993Jリーグサントリーシリーズ 第13節,ヴェルディ川崎,等々力陸上競技場,L,A,● 0 - 1,0,1,10078,1993-06-26,1993,6,26,土,L,False
62,,,1993.06.27,1993Jサテライトリーグ 第6節,名古屋グランパスエイト,浦和市駒場競技場,S,H,○ 1 - 0,1,0,1895,1993-06-27,1993,6,27,日,W,False
63,27,14,1993.06.30,1993Jリーグサントリーシリーズ 第14節,横浜マリノス,横浜市三ツ沢公園球技場,L,A,● 1 - 5,1,5,12110,1993-06-30,1993,6,30,水,L,False
64,28,15,1993.07.03,1993Jリーグサントリーシリーズ 第15節,サンフレッチェ広島,浦和市駒場競技場,L,H,○ 1 - 0,1,0,9013,1993-07-03,1993,7,3,土,W,False
65,,,1993.07.04,1993Jサテライトリーグ 第7節,鹿島アントラーズ,住友金属工業(株)総合グラウンド,S,A,● 0 - 3,0,3,1229,1993-07-04,1993,7,4,日,L,False
66,29,16,1993.07.07,1993Jリーグサントリーシリーズ 第16節,鹿島アントラーズ,浦和市駒場競技場,L,H,● 0 - 2,0,2,9325,1993-07-07,1993,7,7,水,L,False
67,30,17,1993.07.10,1993Jリーグサントリーシリーズ 第17節,清水エスパルス,日本平運動公園球技場,L,A,● 0 - 0 (PK 5 - 6),0,0,9448,1993-07-10,1993,7,10,土,L,False
68,31,18,1993.07.14,1993Jリーグサントリーシリーズ 第18節,横浜フリューゲルス,浦和市駒場競技場,L,H,● 0 - 2,0,2,8905,1993-07-14,1993,7,14,水,L,False
69,,,1993.07.18,1993Jサテライトリーグ 第9節,ジェフユナイテッド市原,浦和市駒場競技場,S,H,● 0 - 2,0,2,1726,1993-07-18,1993,7,18,日,L,False
70,32,19,1993.07.24,1993JリーグNICOSシリーズ 第1節,サンフレッチェ広島,広島スタジアム,L,A,● 0 - 4,0,4,13067,1993-07-24,1993,7,24,土,L,False
71,,,1993.07.25,1993Jサテライトリーグ 第10節,横浜マリノス,秋津総合運動公園サッカー場,S,A,○ 2 - 0,2,0,132,1993-07-25,1993,7,25,日,W,False
72,33,20,1993.07.31,1993JリーグNICOSシリーズ 第2節,横浜マリノス,浦和市駒場競技場,L,H,○ 0 - 0 (PK 4 - 2),0,0,9375,1993-07-31,1993,7,31,土,W,False
73,,,1993.08.01,1993Jサテライトリーグ 第11節,ガンバ大阪,浦和市駒場競技場,S,H,○ 2 - 1,2,1,2330,1993-08-01,1993,8,1,日,W,False
74,34,21,1993.08.04,1993JリーグNICOSシリーズ 第3節,ガンバ大阪,万博記念競技場,L,A,○ 1 - 0,1,0,20259,1993-08-04,1993,8,4,水,W,False
75,35,22,1993.08.07,1993JリーグNICOSシリーズ 第4節,名古屋グランパスエイト,三重県営鈴鹿スポーツガーデン,L,A,● 1 - 4,1,4,11858,1993-08-07,1993,8,7,土,L,False
76,,,1993.08.08,1993Jサテライトリーグ 第12節,サンフレッチェ広島,広島広域公園第一球技場,S,A,● 0 - 1,0,1,136,1993-08-08,1993,8,8,日,L,False
77,36,23,1993.08.14,1993JリーグNICOSシリーズ 第5節,ジェフユナイテッド市原,浦和市駒場競技場,L,H,● 2 - 3,2,3,9366,1993-08-14,1993,8,14,土,L,False
78,,,1993.08.15,1993Jサテライトリーグ 第13節,横浜フリューゲルス,浦和市駒場競技場,S,H,○ 3 - 2,3,2,2594,1993-08-15,1993,8,15,日,W,False
79,37,24,1993.08.20,1993JリーグNICOSシリーズ 第6節,横浜フリューゲルス,浦和市駒場競技場,L,H,● 0 - 1,0,1,9267,1993-08-20,1993,8,20,金,L,False
80,,,1993.08.22,1993Jサテライトリーグ 第14節,ジュビロ磐田,浦和市駒場競技場,S,H,● 0 - 2,0,2,2059,1993-08-22,1993,8,22,日,L,False
81,38,25,1993.08.25,1993JリーグNICOSシリーズ 第7節,清水エスパルス,日本平運動公園球技場,L,A,● 0 - 3,0,3,8699,1993-08-25,1993,8,25,水,L,False
82,39,26,1993.08.28,1993JリーグNICOSシリーズ 第8節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 0 - 2,0,2,14353,1993-08-28,1993,8,28,土,L,False
83,,,1993.08.29,1993Jサテライトリーグ 第15節,柏レイソル,日立柏サッカー場,S,A,● 2 - 3,2,3,2852,1993-08-29,1993,8,29,日,L,False
84,40,27,1993.09.03,1993JリーグNICOSシリーズ 第9節,ヴェルディ川崎,浦和市駒場競技場,L,H,● 0 - 6,0,6,9771,1993-09-03,1993,9,3,金,L,False
85,,,1993.09.05,1993Jサテライトリーグ 第16節,ベルマーレ平塚,浦和市駒場競技場,S,H,○ 2 - 1,2,1,3694,1993-09-05,1993,9,5,日,W,False
86,41,,1993.09.11,1993Jリーグヤマザキナビスコカップ 予選リーグ 第1節,ジュビロ磐田,県営浜松球技場,LC,A,● 0 - 4,0,4,9132,1993-09-11,1993,9,11,土,L,False
87,,,1993.09.12,1993Jサテライトリーグ 第17節,ヴェルディ川崎,町田市立陸上競技場,S,A,● 0 - 4,0,4,1605,1993-09-12,1993,9,12,日,L,False
88,42,,1993.09.18,1993Jリーグヤマザキナビスコカップ 予選リーグ 第3節,横浜フリューゲルス,埼玉県営大宮公園サッカー場,LC,H,● 1 - 1 (PK 4 - 5),1,1,9743,1993-09-18,1993,9,18,土,L,False
89,,,1993.09.19,1993Jサテライトリーグ 第18節,清水エスパルス,浦和市駒場競技場,S,H,○ 2 - 1,2,1,1931,1993-09-19,1993,9,19,日,W,False
90,43,,1993.09.25,1993Jリーグヤマザキナビスコカップ 予選リーグ 第4節,清水エスパルス,札幌厚別公園競技場,LC,A,● 2 - 3,2,3,20237,1993-09-25,1993,9,25,土,L,False
91,,,1993.09.26,1993Jサテライトリーグ 第19節,名古屋グランパスエイト,三重県営鈴鹿スポーツガーデン,S,A,● 0 - 3,0,3,2256,1993-09-26,1993,9,26,日,L,False
92,44,,1993.10.02,1993Jリーグヤマザキナビスコカップ 予選リーグ 第5節,名古屋グランパスエイト,埼玉県営大宮公園サッカー場,LC,H,○ 3 - 2,3,2,9470,1993-10-02,1993,10,2,土,W,False
93,,,1993.10.03,1993Jサテライトリーグ 第20節,鹿島アントラーズ,浦和市駒場競技場,S,H,● 1 - 2,1,2,2617,1993-10-03,1993,10,3,日,L,False
94,,,1993.10.16,1993Jサテライトリーグ 第22節,ジェフユナイテッド市原,秋津総合運動公園サッカー場,S,A,○ 3 - 0,3,0,309,1993-10-16,1993,10,16,土,W,False
95,45,,1993.10.16,1993Jリーグヤマザキナビスコカップ 予選リーグ 第7節,横浜マリノス,埼玉県営大宮公園サッカー場,LC,H,● 1 - 2,1,2,9092,1993-10-16,1993,10,16,土,L,False
96,,,1993.10.24,1993Jサテライトリーグ 第23節,横浜マリノス,浦和市駒場競技場,S,H,● 1 - 2,1,2,3273,1993-10-24,1993,10,24,日,L,False
97,,,1993.10.30,1993Jサテライトリーグ 第24節,ガンバ大阪,尼崎市立記念公園陸上競技場,S,A,● 2 - 3,2,3,1702,1993-10-30,1993,10,30,土,L,False
98,46,28,1993.11.06,1993JリーグNICOSシリーズ 第10節,横浜マリノス,横浜市三ツ沢公園球技場,L,A,● 2 - 3,2,3,14207,1993-11-06,1993,11,6,土,L,False
99,,,1993.11.07,1993Jサテライトリーグ 第25節,サンフレッチェ広島,浦和市駒場競技場,S,H,● 1 - 3,1,3,2645,1993-11-07,1993,11,7,日,L,False
100,47,29,1993.11.10,1993JリーグNICOSシリーズ 第11節,サンフレッチェ広島,浦和市駒場競技場,L,H,● 1 - 2,1,2,8258,1993-11-10,1993,11,10,水,L,False
101,48,30,1993.11.13,1993JリーグNICOSシリーズ 第12節,名古屋グランパスエイト,浦和市駒場競技場,L,H,● 0 - 5,0,5,9347,1993-11-13,1993,11,13,土,L,False
102,,,1993.11.13,1993Jサテライトリーグ 第26節,横浜フリューゲルス,町田市立陸上競技場,S,A,● 0 - 2,0,2,454,1993-11-13,1993,11,13,土,L,False
103,49,31,1993.11.17,1993JリーグNICOSシリーズ 第13節,ジェフユナイテッド市原,国立競技場,L,A,○ 3 - 2,3,2,53570,1993-11-17,1993,11,17,水,W,False
104,50,32,1993.11.20,1993JリーグNICOSシリーズ 第14節,横浜フリューゲルス,鹿児島県立鴨池陸上競技場,L,A,● 1 - 2,1,2,15121,1993-11-20,1993,11,20,土,L,False
105,51,33,1993.11.27,1993JリーグNICOSシリーズ 第15節,清水エスパルス,国立競技場,L,H,● 0 - 2,0,2,50348,1993-11-27,1993,11,27,土,L,False
106,52,34,1993.12.01,1993JリーグNICOSシリーズ 第16節,鹿島アントラーズ,浦和市駒場競技場,L,H,○ 2 - 1,2,1,9256,1993-12-01,1993,12,1,水,W,False
107,53,,1993.12.05,第73回天皇杯全日本サッカー選手権大会 1回戦,大塚製薬,横浜市三ツ沢公園球技場,E,N,○ 3 - 0,3,0,14000,1993-12-05,1993,12,5,日,W,False
108,54,35,1993.12.08,1993JリーグNICOSシリーズ 第17節,ヴェルディ川崎,国立競技場,L,A,● 0 - 4,0,4,50310,1993-12-08,1993,12,8,水,L,False
109,55,,1993.12.11,第73回天皇杯全日本サッカー選手権大会 2回戦,横浜フリューゲルス,栃木県グリーンスタジアム,E,N,● 3 - 4,3,4,14702,1993-12-11,1993,12,11,土,L,False
110,56,36,1993.12.15,1993JリーグNICOSシリーズ 第18節,ガンバ大阪,浦和市駒場競技場,L,H,○ 2 - 0,2,0,8940,1993-12-15,1993,12,15,水,W,False
111,,,1994.02.09,オーストラリア遠征,アデレード・シティ(オーストラリア),ハインドマーシュ・スタジアム,I,A,△ 2 - 2,2,2,10000,1994-02-09,1994,2,9,水,D,False
112,,,1994.02.13,オーストラリア遠征,南オーストラリア州選抜,アデレード,I,A,○ 4 - 0,4,0,0,1994-02-13,1994,2,13,日,W,False
113,,,1994.02.16,オーストラリア遠征,オーストラリア・オリンピック代表,キャンベラ,I,A,● 1 - 3,1,3,2000,1994-02-16,1994,2,16,水,L,False
114,,,1994.02.20,オーストラリア遠征,キャンベラ選抜,キャンベラ,I,A,○ 3 - 0,3,0,500,1994-02-20,1994,2,20,日,W,False
115,,,1994.02.27,NHK BSサッカーJリーグエキシビジョン,ベルマーレ平塚,浦和市駒場競技場,P,H,○ 2 - 1,2,1,9169,1994-02-27,1994,2,27,日,W,False
116,57,37,1994.03.12,1994Jリーグサントリーシリーズ 第1節,横浜マリノス,横浜市三ツ沢公園球技場,L,A,● 0 - 2,0,2,13991,1994-03-12,1994,3,12,土,L,False
117,,,1994.03.13,1994Jサテライトリーグ 第1節,ジェフユナイテッド市原,市原臨海競技場,S,A,○ 2 - 0,2,0,588,1994-03-13,1994,3,13,日,W,False
118,58,38,1994.03.16,1994Jリーグサントリーシリーズ 第2節,清水エスパルス,浦和市駒場競技場,L,H,● 0 - 2,0,2,9290,1994-03-16,1994,3,16,水,L,False
119,59,39,1994.03.19,1994Jリーグサントリーシリーズ 第3節,ジェフユナイテッド市原,市原臨海競技場,L,A,● 2 - 3,2,3,9837,1994-03-19,1994,3,19,土,L,False
120,,,1994.03.20,1994Jサテライトリーグ 第2節,柏レイソル,浦和市駒場競技場,S,H,○ 3 - 3 (PK 4 - 3),3,3,1421,1994-03-20,1994,3,20,日,W,False
121,60,40,1994.03.23,1994Jリーグサントリーシリーズ 第4節,サンフレッチェ広島,浦和市駒場競技場,L,H,● 0 - 1,0,1,7854,1994-03-23,1994,3,23,水,L,False
122,61,41,1994.03.26,1994Jリーグサントリーシリーズ 第5節,名古屋グランパスエイト,名古屋市瑞穂球技場,L,A,● 2 - 7,2,7,11488,1994-03-26,1994,3,26,土,L,False
123,,,1994.03.27,1994Jサテライトリーグ 第3節,鹿島アントラーズ,住友金属工業(株)総合グラウンド,S,A,● 2 - 3,2,3,953,1994-03-27,1994,3,27,日,L,False
124,62,42,1994.04.02,1994Jリーグサントリーシリーズ 第6節,ガンバ大阪,浦和市駒場競技場,L,H,○ 2 - 1,2,1,9157,1994-04-02,1994,4,2,土,W,False
125,,,1994.04.03,1994Jサテライトリーグ 第4節,サンフレッチェ広島,浦和市駒場競技場,S,H,● 0 - 1,0,1,1450,1994-04-03,1994,4,3,日,L,False
126,63,43,1994.04.06,1994Jリーグサントリーシリーズ 第7節,横浜フリューゲルス,鹿児島県立鴨池陸上競技場,L,A,● 1 - 2,1,2,10130,1994-04-06,1994,4,6,水,L,False
127,64,44,1994.04.09,1994Jリーグサントリーシリーズ 第8節,ジュビロ磐田,ジュビロ磐田スタジアム,L,A,● 0 - 1,0,1,13842,1994-04-09,1994,4,9,土,L,False
128,,,1994.04.10,1994Jサテライトリーグ 第5節,ガンバ大阪,奈良市立鴻ノ池競技場,S,A,● 0 - 2,0,2,3328,1994-04-10,1994,4,10,日,L,False
129,65,45,1994.04.13,1994Jリーグサントリーシリーズ 第9節,ベルマーレ平塚,浦和市駒場競技場,L,H,○ 4 - 1,4,1,9408,1994-04-13,1994,4,13,水,W,False
130,66,46,1994.04.16,1994Jリーグサントリーシリーズ 第10節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 2 - 4,2,4,14057,1994-04-16,1994,4,16,土,L,False
131,,,1994.04.17,1994Jサテライトリーグ 第6節,横浜マリノス,浦和市駒場競技場,S,H,● 1 - 2,1,2,3179,1994-04-17,1994,4,17,日,L,False
132,67,47,1994.04.23,1994Jリーグサントリーシリーズ 第11節,ヴェルディ川崎,国立競技場,L,H,● 0 - 1,0,1,52028,1994-04-23,1994,4,23,土,L,False
133,,,1994.04.24,1994Jサテライトリーグ 第7節,名古屋グランパスエイト,三重県営鈴鹿スポーツガーデン,S,A,○ 4 - 3,4,3,1392,1994-04-24,1994,4,24,日,W,False
134,68,48,1994.04.27,1994Jリーグサントリーシリーズ 第12節,清水エスパルス,静岡県営草薙陸上競技場,L,A,● 1 - 2,1,2,17789,1994-04-27,1994,4,27,水,L,False
135,69,49,1994.04.30,1994Jリーグサントリーシリーズ 第13節,ジェフユナイテッド市原,浦和市駒場競技場,L,H,● 0 - 2,0,2,9393,1994-04-30,1994,4,30,土,L,False
136,,,1994.05.01,1994Jサテライトリーグ 第8節,清水エスパルス,浦和市駒場競技場,S,H,● 0 - 1,0,1,3208,1994-05-01,1994,5,1,日,L,False
137,70,50,1994.05.04,1994Jリーグサントリーシリーズ 第14節,サンフレッチェ広島,広島ビッグアーチ,L,A,● 0 - 1,0,1,21077,1994-05-04,1994,5,4,水,L,False
138,71,51,1994.05.07,1994Jリーグサントリーシリーズ 第15節,名古屋グランパスエイト,国立競技場,L,H,● 0 - 1,0,1,52440,1994-05-07,1994,5,7,土,L,False
139,,,1994.05.08,1994Jサテライトリーグ 第9節,ジュビロ磐田,ジュビロ磐田スタジアム,S,A,● 1 - 2,1,2,3707,1994-05-08,1994,5,8,日,L,False
140,72,52,1994.05.14,1994Jリーグサントリーシリーズ 第16節,ガンバ大阪,神戸総合運動公園ユニバー記念競技場,L,A,○ 2 - 1,2,1,37292,1994-05-14,1994,5,14,土,W,False
141,,,1994.05.15,1994Jサテライトリーグ 第10節,横浜フリューゲルス,浦和市駒場競技場,S,H,● 0 - 2,0,2,2823,1994-05-15,1994,5,15,日,L,False
142,73,53,1994.05.18,1994Jリーグサントリーシリーズ 第17節,横浜フリューゲルス,国立競技場,L,H,○ 3 - 0,3,0,48466,1994-05-18,1994,5,18,水,W,False
143,74,54,1994.06.01,1994Jリーグサントリーシリーズ 第18節,ジュビロ磐田,浦和市駒場競技場,L,H,● 0 - 1,0,1,9408,1994-06-01,1994,6,1,水,L,False
144,75,55,1994.06.04,1994Jリーグサントリーシリーズ 第19節,ベルマーレ平塚,平塚競技場,L,A,○ 4 - 2,4,2,14832,1994-06-04,1994,6,4,土,W,False
145,,,1994.06.05,1994Jサテライトリーグ 第11節,ベルマーレ平塚,郡山市営開成山陸上競技場,S,A,● 0 - 0 (PK 7 - 8),0,0,6354,1994-06-05,1994,6,5,日,L,False
146,76,56,1994.06.08,1994Jリーグサントリーシリーズ 第20節,鹿島アントラーズ,浦和市駒場競技場,L,H,● 1 - 4,1,4,9674,1994-06-08,1994,6,8,水,L,False
147,77,57,1994.06.11,1994Jリーグサントリーシリーズ 第21節,ヴェルディ川崎,等々力陸上競技場,L,A,● 0 - 3,0,3,10597,1994-06-11,1994,6,11,土,L,False
148,,,1994.06.12,1994Jサテライトリーグ 第12節,セレッソ大阪,水口スポーツの森サッカー場,S,A,● 2 - 3,2,3,954,1994-06-12,1994,6,12,日,L,False
149,78,58,1994.06.15,1994Jリーグサントリーシリーズ 第22節,横浜マリノス,浦和市駒場競技場,L,H,○ 2 - 1,2,1,9822,1994-06-15,1994,6,15,水,W,False
