試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数,date,year,month,day,weekday,result,延期or中止
1360,1057,754,2016.03.06,2016明治安田生命J1リーグ 1stステージ 第2節,ジュビロ磐田,埼玉スタジアム2002,L,H,● 1 - 2,1,2,43826,2016-03-06,2016,3,6,日,L,False
1361,1058,755,2016.03.12,2016明治安田生命J1リーグ 1stステージ 第3節,アビスパ福岡,埼玉スタジアム2002,L,H,○ 2 - 0,2,0,27946,2016-03-12,2016,3,12,土,W,False
1362,1059,,2016.03.16,AFCチャンピオンズリーグ2016 グループステージ MD3,広州恒大(中国),広州天河体育中心,ACL,A,△ 2 - 2,2,2,48816,2016-03-16,2016,3,16,水,D,False
1363,1060,756,2016.03.20,2016明治安田生命J1リーグ 1stステージ 第4節,湘南ベルマーレ,Shonan BMW スタジアム平塚,L,A,○ 2 - 0,2,0,14419,2016-03-20,2016,3,20,日,W,False
1364,1061,757,2016.04.01,2016明治安田生命J1リーグ 1stステージ 第5節,ヴァンフォーレ甲府,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,22766,2016-04-01,2016,4,1,金,W,False
1365,1062,,2016.04.05,AFCチャンピオンズリーグ2016 グループステージ MD4,広州恒大(中国),埼玉スタジアム2002,ACL,H,○ 1 - 0,1,0,30282,2016-04-05,2016,4,5,火,W,False
1366,1063,758,2016.04.10,2016明治安田生命J1リーグ 1stステージ 第6節,横浜F・マリノス,日産スタジアム,L,A,△ 0 - 0,0,0,38382,2016-04-10,2016,4,10,日,D,False
1367,1064,759,2016.04.16,2016明治安田生命J1リーグ 1stステージ 第7節,ベガルタ仙台,埼玉スタジアム2002,L,H,○ 3 - 1,3,1,31012,2016-04-16,2016,4,16,土,W,False
1368,1065,,2016.04.20,AFCチャンピオンズリーグ2016 グループステージ MD5,シドニーFC(オーストラリア),シドニー・フットボールスタジアム,ACL,A,△ 0 - 0,0,0,8803,2016-04-20,2016,4,20,水,D,False
1369,1066,760,2016.04.24,2016明治安田生命J1リーグ 1stステージ 第8節,川崎フロンターレ,等々力陸上競技場,L,A,○ 1 - 0,1,0,25450,2016-04-24,2016,4,24,日,W,False
