match_id,label,home_id,away_id,home_score,away_score,home_scoreET,away_scoreET,home_count,away_count,total_pass
2500984,"Saint-\u00c9tienne - Guingamp, 2 - 0",3782,3785,2,0,0,0,134,126,260
2500980,"Metz - Nantes, 1 - 1",3777,3770,1,1,0,0,178,199,377
2500983,"Nice - PSG, 1 - 2",3775,3767,1,2,0,0,132,127,259
2500976,"Amiens SC - Troyes, 1 - 1",3789,3795,1,1,0,0,177,155,332
2500977,"Angers SCO - Caen, 3 - 0",3799,3783,3,0,0,0,140,182,322
2500982,"Montpellier - Dijon, 2 - 2",3787,3804,2,2,0,0,170,145,315
2500985,"Toulouse - Strasbourg, 2 - 2",3780,3779,2,2,0,0,174,149,323
2500978,"Bordeaux - Rennes, 0 - 2",3772,3774,0,2,0,0,206,153,359
2500981,"Monaco - Lille, 2 - 1",19830,3776,2,1,0,0,149,174,323
2500992,"PSG - Angers SCO, 2 - 1",3767,3799,2,1,0,0,158,119,277
2500975,"Toulouse - Olympique Marseille, 1 - 2",3780,3771,1,2,0,0,135,175,310
2500970,"Olympique Lyonnais - Caen, 1 - 0",3766,3783,1,0,0,0,199,146,345
2500968,"Guingamp - Nice, 2 - 5",3785,3775,2,5,0,0,135,178,313
2500966,"Bordeaux - Angers SCO, 0 - 0",3772,3799,0,0,0,0,210,136,346
2500967,"Dijon - Amiens SC, 1 - 1",3804,3789,1,1,0,0,196,126,322
2500969,"Lille - Montpellier, 1 - 1",3776,3787,1,1,0,0,129,146,275
2500971,"Nantes - Troyes, 1 - 0",3770,3795,1,0,0,0,194,147,341
2500973,"Rennes - Saint-\u00c9tienne, 1 - 1",3774,3782,1,1,0,0,158,125,283
2500972,"PSG - Metz, 5 - 0",3767,3777,5,0,0,0,142,113,255
2500974,"Strasbourg - Monaco, 1 - 3",3779,19830,1,3,0,0,165,131,296
2500959,"Olympique Marseille - Nantes, 1 - 1",3771,3770,1,1,0,0,194,90,284
2500962,"Montpellier - Olympique Lyonnais, 1 - 1",3787,3766,1,1,0,0,137,182,319
2500958,"Caen - Strasbourg, 2 - 0",3783,3779,2,0,0,0,130,179,309
2500956,"Amiens SC - Rennes, 0 - 2",3789,3774,0,2,0,0,153,153,306
2500957,"Angers SCO - Guingamp, 3 - 0",3799,3785,3,0,0,0,133,165,298
2500960,"Metz - Toulouse, 1 - 1",3777,3780,1,1,0,0,166,205,371
2500964,"Saint-\u00c9tienne - Dijon, 2 - 2",3782,3804,2,2,0,0,192,129,321
2500965,"Troyes - PSG, 0 - 2",3795,3767,0,2,0,0,119,177,296
2500961,"Monaco - Bordeaux, 2 - 1",19830,3772,2,1,0,0,166,180,346
2500963,"Nice - Lille, 2 - 1",3775,3776,2,1,0,0,166,134,300
2500952,"PSG - Olympique Marseille, 3 - 0",3767,3771,3,0,0,0,114,122,236
2500950,"Olympique Lyonnais - Saint-\u00c9tienne, 1 - 1",3766,3782,1,1,0,0,163,182,345
2500946,"Bordeaux - Nice, 0 - 0",3772,3775,0,0,0,0,156,153,309
2500947,"Dijon - Caen, 2 - 0",3804,3783,2,0,0,0,153,192,345
2500948,"Guingamp - Metz, 2 - 2",3785,3777,2,2,0,0,169,127,296
2500949,"Lille - Angers SCO, 1 - 2",3776,3799,1,2,0,0,207,128,335
2500951,"Nantes - Amiens SC, 0 - 1",3770,3789,0,1,0,0,204,132,336
2500953,"Rennes - Troyes, 2 - 0",3774,3795,2,0,0,0,146,155,301
2500955,"Toulouse - Monaco, 3 - 3",3780,19830,3,3,0,0,153,158,311
2500954,"Strasbourg - Montpellier, 0 - 0",3779,3787,0,0,0,0,159,153,312
